TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Tigd2	Utf1	-0.94338	50.57	-5.7E-01	rgb( 93,141,239)	1.9938	2,2
Trps1	Edn3	-0.94338	50.57	-5.7E-01	rgb( 94,142,239)	1.9938	2,2
Zbtb46	Serpinb6b	0.94338	50.57	0.571	rgb(223,108,109)	1.9938	2,2
Zeb2	Tubb6	0.94338	50.57	0.565	rgb(223,109,110)	1.9938	2,2
Zfp146	AA467197	-0.94338	50.57	-5.7E-01	rgb( 94,142,239)	1.9938	2,2
Zfp277	Amz2	0.94338	50.57	0.569	rgb(223,108,109)	1.9938	2,2
Zfp277	Tmem35	0.94338	50.57	0.566	rgb(223,109,110)	1.9938	2,2
Zfp318	Slc13a3	-0.94338	50.57	-5.7E-01	rgb( 93,142,239)	1.9938	2,2
Zfp354c	Acpp	0.94338	50.57	0.567	rgb(223,109,110)	1.9938	2,2
Zfp750	Prss42	0.94338	50.57	0.574	rgb(223,107,109)	1.9938	2,2
Zfp808	Rfwd3	0.94338	50.57	0.57	rgb(223,108,109)	1.9938	2,2
Zfp827	Susd3	-0.94338	50.57	-5.7E-01	rgb( 94,142,238)	1.9938	2,2
Zfp945	Sh3bp5	0.94338	50.57	0.574	rgb(223,107,108)	1.9938	2,2
Arid3a	Ptpn4	0.94112	50.56	0.562	rgb(223,110,111)	1.9936	None
Batf	Hif1a	0.94112	50.56	0.561	rgb(223,110,111)	1.9936	None
Bbx	Mbp	-0.94112	50.56	-5.6E-01	rgb( 96,144,238)	1.9936	2,2
Crem	Klf11	0.94112	50.56	0.558	rgb(223,110,112)	1.9936	None
Egr1	Dctpp1	0.94112	50.56	0.555	rgb(223,111,112)	1.9936	None
Egr4	Cox7a2l	-0.94112	50.56	-5.6E-01	rgb( 96,143,238)	1.9936	None
Elk3	Cdh17	0.94112	50.56	0.558	rgb(223,110,112)	1.9936	None
Fosl1	Dpy19l3	0.94112	50.56	0.557	rgb(223,111,112)	1.9936	None
Fosl1	Klf7	0.94112	50.56	0.562	rgb(223,110,111)	1.9936	None
Hif1a	Cep170	0.94112	50.56	0.558	rgb(223,110,112)	1.9936	None
Hif1a	Epm2a	0.94112	50.56	0.559	rgb(223,110,111)	1.9936	2,2
Irf9	Parp9	0.94112	50.56	0.559	rgb(223,110,111)	1.9936	None
Klf4	Rbmx	-0.94112	50.56	-5.6E-01	rgb( 95,143,238)	1.9936	None
Klf5	Als2cl	0.94112	50.56	0.557	rgb(223,111,112)	1.9936	None
Klf8	B4galt5	0.94112	50.56	0.564	rgb(223,109,110)	1.9936	None
Lhx6	Dtl	0.94112	50.56	0.555	rgb(223,111,112)	1.9936	None
Mxi1	Mecr	0.94112	50.56	0.559	rgb(223,110,111)	1.9936	2,2
Nr1d1	Wdr47	0.94112	50.56	0.561	rgb(223,110,111)	1.9936	None
Nr4a2	Cyth3	0.94112	50.56	0.559	rgb(223,110,111)	1.9936	2,2
