TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Hsf1	Ifi27l2a	-0.94107	50.62	-6.2E-01	rgb( 82,135,241)	1.9942	None
Ikzf2	Cd160	0.94107	50.62	0.623	rgb(224, 98, 99)	1.9942	2,2
Ikzf3	Pkp4	-0.94107	50.62	-6.2E-01	rgb( 83,135,241)	1.9942	None
Irf1	Rasa4	0.94107	50.62	0.618	rgb(224, 99,100)	1.9942	2,2
Irf4	Crtam	-0.94107	50.62	-6.2E-01	rgb( 83,136,240)	1.9942	2,2
Irf4	Slfn2	0.94107	50.62	0.62	rgb(224, 99,100)	1.9942	None
Irf7	Ccrl2	0.94107	50.62	0.617	rgb(224, 99,100)	1.9942	2,2
Irf8	Tbx21	0.94107	50.62	0.623	rgb(224, 98, 99)	1.9942	2,2
Maf	Cdh23	0.94107	50.62	0.624	rgb(224, 98, 99)	1.9942	None
Mxi1	Ppp1r13l	0.94107	50.62	0.621	rgb(224, 98,100)	1.9942	None
Myc	Tmem43	-0.94107	50.62	-6.2E-01	rgb( 82,135,241)	1.9942	None
Nfkb1	Mbp	0.94107	50.62	0.618	rgb(224, 99,100)	1.9942	None
Nfkb2	Ets1	-0.94107	50.62	-6.2E-01	rgb( 83,135,240)	1.9942	None
Patz1	Btbd11	0.94107	50.62	0.621	rgb(224, 98,100)	1.9942	2,2
Rbpj	Nckap1	0.94107	50.62	0.617	rgb(224, 99,100)	1.9942	2,2
Rxra	Ccdc50	0.94107	50.62	0.615	rgb(224, 99,101)	1.9942	None
Smad3	Sorl1	0.94107	50.62	0.617	rgb(224, 99,100)	1.9942	None
Smad4	Itpr3	0.94107	50.62	0.616	rgb(224, 99,101)	1.9942	None
Sp2	Arhgap33	0.94107	50.62	0.62	rgb(224, 99,100)	1.9942	None
Sp3	4931406P16Rik	0.94107	50.62	0.617	rgb(224, 99,100)	1.9942	None
Stat4	Nudt6	-0.94107	50.62	-6.2E-01	rgb( 82,135,241)	1.9942	None
Stat5b	Usp22	0.94107	50.62	0.62	rgb(224, 98,100)	1.9942	2,2
Thap1	Dffb	0.94107	50.62	0.624	rgb(224, 98, 99)	1.9942	None
Xbp1	Gpatch4	-0.94107	50.62	-6.2E-01	rgb( 82,135,241)	1.9942	2,2
Zbtb7a	Car2	-0.94107	50.62	-6.2E-01	rgb( 83,135,240)	1.9942	None
Zfp263	Arhgef6	-0.94107	50.62	-6.2E-01	rgb( 83,136,240)	1.9942	None
Klf6	Crtc1	-0.94107	50.62	-6.2E-01	rgb( 83,135,240)	1.9942	2,2
Zbtb32	P4ha2	0.94107	50.62	0.621	rgb(224, 98,100)	1.9942	2,2
Zfp169	Inpp4a	0.94107	50.62	0.615	rgb(224, 99,101)	1.9942	2,2
Zfp385a	Zfp365	0.94107	50.62	0.624	rgb(224, 98, 99)	1.9942	2,2
Zfp385a	Zfp750	0.94107	50.62	0.62	rgb(224, 99,100)	1.9942	2,2
Zfp407	Mpdu1	-0.94107	50.62	-6.2E-01	rgb( 83,135,240)	1.9942	2,2
Atf3	Hdc	0.93897	50.61	0.606	rgb(224,101,102)	1.994	2,2
Bhlhe40	Anln	0.93897	50.61	0.606	rgb(224,101,102)	1.994	None
Cic	Trappc10	0.93897	50.61	0.613	rgb(224,100,101)	1.994	None
Deaf1	Acin1	0.93897	50.61	0.614	rgb(224,100,101)	1.994	None
Ets1	Slc9a3r1	0.93897	50.61	0.61	rgb(224,100,102)	1.994	None
Etv6	Cnga1	-0.93897	50.61	-6.1E-01	rgb( 85,137,240)	1.994	None
Hic1	Pld2	0.93897	50.61	0.608	rgb(224,101,102)	1.994	None
Ikzf2	Gucy2e	0.93897	50.61	0.605	rgb(224,101,103)	1.994	2,2
Irf1	Insrr	0.93897	50.61	0.611	rgb(224,100,102)	1.994	2,2
Irf4	Nox1	-0.93897	50.61	-6.1E-01	rgb( 85,137,240)	1.994	2,2
Irf4	Srgap3	-0.93897	50.61	-6.1E-01	rgb( 84,136,240)	1.994	2,2
Irf5	Calhm2	0.93897	50.61	0.608	rgb(224,101,102)	1.994	2,2
Irf7	Cxcl10	0.93897	50.61	0.606	rgb(224,101,103)	1.994	None
Irf7	Isg20	0.93897	50.61	0.606	rgb(224,101,102)	1.994	None
Irf8	Jak3	0.93897	50.61	0.613	rgb(224,100,101)	1.994	2,2
Kdm2b	Mxd1	-0.93897	50.61	-6.1E-01	rgb( 85,137,240)	1.994	2,2
Nfkb1	Emb	-0.93897	50.61	-6.1E-01	rgb( 85,136,240)	1.994	None
Nfkb1	Fbxo11	0.93897	50.61	0.613	rgb(224,100,101)	1.994	None
Nr3c1	D930015E06Rik	0.93897	50.61	0.609	rgb(224,101,102)	1.994	None
Plagl1	Cd180	0.93897	50.61	0.608	rgb(224,101,102)	1.994	2,2
